"COD1","COD2","NRODESP","CPBTE","ENTRADA","SALIDAS","STOCK","FECENT","FECUSAL"
"A","84","22001IC04105136H","160522","50","47","3","2022-05-20","2025-04-25"
"A","84","22001IC05023281X","260922","52","52","0.0000","2022-09-26","2024-08-19"
"A","84","23001IC04049866C","280323","60","19","41","2023-03-30","2024-11-22"
"A","84","23001IC04174792W","181023","75","62","13","2023-10-27","2024-11-25"
"A","85","16001IC04087468E","80916","105","105","0.0000","2016-09-12","2018-01-31"
"A","85","18001IC04080837W","90418","105","105","0.0000","2018-04-13","2019-08-30"
"A","85","19001IC04015932R","240119","98","98","0.0000","2019-01-28","2021-11-17"
"A","85","19001IC04158500Z","60919","73","73","0.0000","2019-09-11","2022-06-03"
"A","85","20001IC04192939W","181120","76","75","1","2020-11-24","2024-05-31"
"A","85","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2024-04-19"
"A","85","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2024-07-22"
"A","85","21001IC04245806P","131221","50","52","-2","2021-12-17","2025-03-19"
"A","85","21001IC05014592M","280621","50","18","32","2021-06-30","2025-03-28"
"A","85","22001IC04105136H","160522","52","52","0.0000","2022-05-20","2025-02-26"
"A","85","22001IC05023281X","260922","52","51","1","2022-09-26","2024-06-25"
"A","86","16001IC04087468E","80916","105","105","0.0000","2016-09-12","2018-05-02"
"A","86","17001IC04180892A","80917","104","104","0.0000","2017-09-15","2018-07-24"
"A","86","18001IC04080837W","90418","98","98","0.0000","2018-04-13","2021-11-23"
"A","86","19001IC04015932R","240119","98","98","0.0000","2019-01-28","2023-03-09"
"A","86","19001IC04158500Z","60919","51","51","0.0000","2019-09-11","2025-03-07"
"A","86","20001IC04111282E","200720","75","38","37","2020-07-23","2024-07-22"
"A","86","21001IC04054806N","190321","50","45","5","2021-03-23","2024-09-18"
"A","86","21001IC04161492N","240821","50","13","37","2021-08-30","2023-04-20"
"A","86","21001IC04245806P","131221","50","14","36","2021-12-17","2023-12-04"
"A","86","21001IC05014592M","280621","50","49","1","2021-06-30","2025-02-26"
"A","86","22001IC04105136H","160522","50","21","29","2022-05-20","2025-01-28"
"A","86","22001IC05023281X","260922","50","10","40","2022-09-26","2024-06-26"
"A","86","23001IC04049866C","280323","60","12","48","2023-03-30","2024-11-21"
"A","86","23001IC04174792W","181023","76","46","30","2023-10-27","2025-03-27"
"A","87","16001IC04087468E","80916","102","102","0.0000","2016-09-12","2018-02-19"
"A","87","18001IC04080837W","90418","58","58","0.0000","2018-04-13","2019-05-03"
"A","87","19001IC04015932R","240119","100","100","0.0000","2019-01-28","2021-11-30"
"A","87","19001IC04158500Z","60919","74","74","0.0000","2019-09-11","2022-03-21"
"A","87","20001IC04192939W","181120","76","75","1","2020-11-24","2022-07-12"
"A","87","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2023-07-11"
"A","87","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2025-01-29"
"A","87","21001IC04245806P","131221","50","47","3","2021-12-17","2025-03-25"
"A","87","21001IC05014592M","280621","50","51","-1","2021-06-30","2025-01-08"
"A","87","22001IC04105136H","160522","50","50","0.0000","2022-05-20","2024-11-22"
"A","87","22001IC05023281X","260922","50","26","24","2022-09-26","2024-09-16"
"A","88","16001IC04087468E","80916","105","105","0.0000","2016-09-12","2018-01-31"
"A","88","17001IC04180892A","80917","102","102","0.0000","2017-09-15","2020-01-29"
"A","88","18001IC04080837W","90418","105","105","0.0000","2018-04-13","2022-05-31"
"A","88","19001IC04015932R","240119","99","100","-1","2019-01-28","2024-01-29"
"A","88","19001IC04158500Z","60919","74","71","3","2019-09-11","2025-03-20"
"A","88","20001IC04111282E","200720","75","41","34","2020-07-23","2024-04-10"
